,Train_loss,Train_binary_acc,Train_precision,Train_recall,Train_f1,Valid_loss,Valid_binary_acc,Valid_precision,Valid_recall,Valid_f1,Best_epoch
0,0.7199885726718632,0.9555555555555556,0.989247311827957,0.8761904761904762,0.9292929292929293,0.553993544301316,0.9240506329113924,0.9411764705882353,0.7619047619047619,0.8421052631578947,0
1,0.4601203426903354,0.9206349206349206,0.8174603174603174,0.9809523809523809,0.8917748917748919,0.5198574332892095,0.8734177215189873,0.7037037037037037,0.9047619047619048,0.7916666666666667,0
2,0.3799092422282411,0.9619047619047619,0.979381443298969,0.9047619047619048,0.9405940594059405,0.42811838082411574,0.9493670886075949,0.9047619047619048,0.9047619047619048,0.9047619047619048,0
3,0.32289239281795445,0.9682539682539683,0.9357798165137615,0.9714285714285714,0.9532710280373832,0.4660651821957373,0.9113924050632911,0.7916666666666666,0.9047619047619048,0.8444444444444444,0
4,0.29633480085496017,0.9841269841269841,0.9901960784313726,0.9619047619047619,0.9758454106280193,0.44312708487282815,0.9240506329113924,0.8947368421052632,0.8095238095238095,0.8500000000000001,0
5,0.3045750169979969,0.9809523809523809,0.9626168224299065,0.9809523809523809,0.9716981132075471,0.4077496317598907,0.9113924050632911,0.7916666666666666,0.9047619047619048,0.8444444444444444,0
6,0.2771788559265037,0.9841269841269841,1.0,0.9523809523809523,0.975609756097561,0.4120286133878805,0.9367088607594937,0.9444444444444444,0.8095238095238095,0.8717948717948718,0
7,0.28377472425067446,0.9492063492063492,0.8803418803418803,0.9809523809523809,0.9279279279279279,0.4957138902936356,0.8987341772151899,0.7407407407407407,0.9523809523809523,0.8333333333333334,0
8,0.24022072011314838,0.9873015873015873,1.0,0.9619047619047619,0.9805825242718447,0.39809478858408803,0.9493670886075949,0.9473684210526315,0.8571428571428571,0.9,0
9,0.23594905690923826,0.9841269841269841,1.0,0.9523809523809523,0.975609756097561,0.3557516280539315,0.9620253164556962,0.95,0.9047619047619048,0.9268292682926829,0
