,Train_loss,Train_binary_acc,Train_precision,Train_recall,Train_f1,Valid_loss,Valid_binary_acc,Valid_precision,Valid_recall,Valid_f1,Best_epoch
0,0.38610874618168106,0.9971264367816092,1.0,0.9947089947089947,0.9973474801061007,0.15668217431356998,1.0,1.0,1.0,1.0,0
1,0.1589497778110873,0.9971264367816092,1.0,0.9947089947089947,0.9973474801061007,0.10210925990252685,1.0,1.0,1.0,1.0,0
2,0.1274954150724952,0.9971264367816092,1.0,0.9947089947089947,0.9973474801061007,0.0913537478481107,1.0,1.0,1.0,1.0,0
3,0.11953454463724171,0.9971264367816092,1.0,0.9947089947089947,0.9973474801061007,0.06954571955361333,1.0,1.0,1.0,1.0,0
4,0.12488353193165942,1.0,1.0,1.0,1.0,0.05893268749529329,1.0,1.0,1.0,1.0,0
5,0.098833976779453,0.9971264367816092,1.0,0.9947089947089947,0.9973474801061007,0.053690723149982994,1.0,1.0,1.0,1.0,0
6,0.09835072318686398,1.0,1.0,1.0,1.0,0.05287007322072441,1.0,1.0,1.0,1.0,0
7,0.054172834958016815,1.0,1.0,1.0,1.0,0.04133050315770272,1.0,1.0,1.0,1.0,0
8,0.045130155496071654,1.0,1.0,1.0,1.0,0.03703708664371156,1.0,1.0,1.0,1.0,0
9,0.03564142691036248,1.0,1.0,1.0,1.0,0.033678608485409406,1.0,1.0,1.0,1.0,0
